"anno,""kontormann,kontormannen,kontormenn,kontormennene,kontormand,kontormanden,kontormend,kontormændene,kontormænn,kontormænd,kontormænder,kontormænderne,kontormennerne,kontormender,kontormenner,kontormendene,kontormenderne"""
1810,0.0017818604509783989
1811,0.0023857594686222464
1812,0.001209127423893567
1813
1814
1815
1816
1817
1818
1819
1820
1821
1822
1823
1824
1825
1826
1827
1828
1829
1830
1831
1832
1833
1834
1835
1836
1837
1838
1839
1840
1841
1842
1843,0.00001162989622992491
1844
1845
1846,0.000011791280654529272
1847
1848
1849
1850
1851
1852
1853,0.00004460878320175973
1854
1855,0.00001344483222328317
1856
1857,0.000027889809593480922
1858,0.00003627896126803677
1859
1860
1861
1862,0.0001495763250592696
1863,0.00015407952506527194
1864,0.00008831144975608378
1865
1866,0.00012672557998073773
1867
1868,0.000030824468216274334
1869,0.000052281704278996094
1870,0.000025351948423996126
1871,0.00010619565354464498
1872,0.000048583268175073496
1873,0.00009524556974756876
1874,0.00011742505639338334
1875,0.00017192064587957283
1876,0.00015086084213740446
1877,0.0005010786612967737
1878,0.0003102094859790987
1879,0.0006979139070380562
1880,0.0006535328635971477
1881,0.0006422164303513436
1882,0.0003019275285675699
1883,0.0005239181147877254
1884,0.0005877635232380551
1885,0.00043399099887956764
1886,0.00027488168542495934
1887,0.00017112693880805488
1888,0.00016886743494485035
1889,0.00013412540006686366
1890,0.00009690159905634454
1891,0.000059988448624332896
1892,0.00006417733481155128
1893,0.00005463127472727988
1894,0.00005248315137764919
1895,0.00007345820802853499
1896,0.000183277103263491
1897,0.00013421571020564007
1898,0.00014111712275555692
1899,0.00017514270695124967
1900,0.00018449375617295475
1901,0.0004585045651165913
1902,0.00038879500001539447
1903,0.00037085338756772843
1904,0.0003694948348727583
1905,0.0003060836054376215
1906,0.0004141142675358275
1907,0.0006168023931932856
1908,0.0005260690457058574
1909,0.0004479155521641459
1910,0.00042783683923120733
1911,0.0006256839787315714
1912,0.0014874904731372175
1913,0.00118063392630217
1914,0.0013232721265742328
1915,0.0014336769076426965
1916,0.002302815165347472
1917,0.0019741331699698653
1918,0.0017343709966189977
1919,0.00262819701501273
1920,0.0019557969812686793
1921,0.001442813468153918
1922,0.001139899577636524
1923,0.0011049193185771566
1924,0.000853379128108789
1925,0.0007347506736627491
1926,0.0005158938598345351
1927,0.0005030440665083001
1928,0.0005081734170508532
1929,0.0004508838012633028
1930,0.0004500270432621086
1931,0.0005093460389025692
1932,0.00041008263829379974
1933,0.00040734156894048677
1934,0.00037083641384876915
1935,0.0003329961651472664
1936,0.00039109747714902437
1937,0.00043899074376878197
1938,0.00032651769661852075
1939,0.00032694117215192344
1940,0.00034367791117147965
1941,0.0006814333697417728
1942,0.0011268576800828967
1943,0.0011621816068120396
1944,0.000964681633801274
1945,0.0011319961828523725
1946,0.0011267938594357405
1947,0.001202122095775386
1948,0.0014035357332477542
1949,0.0010145937964138926
1950,0.0006978670545596692
1951,0.0007673581202795485
1952,0.001169494322621817
1953,0.001180960310072939
1954,0.0011344390210046198
1955,0.001219197865784731
1956,0.0010051946234024877
1957,0.0011205219872478397
1958,0.0007191398072648914
1959,0.0006854411057739371
1960,0.0007024842824463653
1961,0.0007062523969297823
1962,0.0006665690565904179
1963,0.0006985416107884893
1964,0.0006118125872838128
1965,0.0005635642707693332
1966,0.0006166187397191819
1967,0.0006940199478245588
1968,0.0005609909049742749
1969,0.000530783404874671
1970,0.0005060319338337198
1971,0.0003184732743580684
1972,0.00020863915434740808
1973,0.000152193742545388
1974,0.00011591660659963773
1975,0.00011055648607264668
1976,0.00006410899315239556
1977,0.00007761055025880133
1978,0.00006531739444404242
1979,0.0000550794046539324
1980,0.00003132087544352535
1981,0.000027454399951953902
1982,0.000027767206640360866
1983,0.000021144944750528043
1984,0.000013239649177142777
1985,0.000014462821405271364
1986,0.000013664554535170778
1987,0.00000886344598610043
1988,0.000005801194749870795
1989,0.000005025600602762804
1990,0.000007905620378143215
1991,0.000006143304872767037
1992,0.000005729264317799375
1993,0.000004550678782154524
1994,0.000008601226936689065
1995,0.000008299961177969086
1996,0.000007347005534300899
1997,0.0000037242912668481904
1998,0.0000028526649568597513
1999,0.0000029693015713511748
2000,0.000015105198283870194
2001,0.00003238451225165024
2002,0.00002848916326358863
2003,0.000032664574629178026
2004,0.000026081435360907633
2005,0.00002801921195370603
2006,0.000023339830679337058
2007,0.00002268096381213414
2008,0.000009240158549682895
2009,0.000008231807406816327
2010,0.000013201245212791371
2011,0.00001866881217617225
2012,0.000051221492005641154
2013,0.000023833452974619104
